Country,Year,Value
Afghanistan,2021,8.74
Africa,2021,17.778818
Africa (FAO),2021,17.78
Albania,2021,51.99
Algeria,2021,17.920002
Americas (FAO),2021,93.98
Angola,2021,19.979996
Antigua and Barbuda,2021,85.791725
Argentina,2021,115.47999
Armenia,2021,59.98998
Asia,2021,33.395992
Asia (FAO),2021,33.45
Australia,2021,110.14999
Austria,2021,76.389946
Azerbaijan,2021,37.13999
Bahamas,2021,111.89726
Bahrain,2021,82.840225
Bangladesh,2021,4.3000007
Barbados,2021,86.37877
Belarus,2021,88.919975
Belgium,2021,66.150024
Belize,2021,56.619007
Benin,2021,15.619999
Bhutan,2021,13.559826
Bolivia,2021,78.36997
Bosnia and Herzegovina,2021,46.829887
Botswana,2021,30.139952
Brazil,2021,98.84
Bulgaria,2021,61.800053
Burkina Faso,2021,33.319984
Burundi,2021,3.5099986
Cambodia,2021,12.639992
Cameroon,2021,14.609999
Canada,2021,86.85
Cape Verde,2021,38.408955
Caribbean (FAO),2021,45.46
Central African Rep.,2021,34.409904
Central America (FAO),2021,66.99
Central Asia (FAO),2021,49.45
Chad,2021,47.12999
Chile,2021,97.78003
China,2021,62.75
China (FAO),2021,63.64
Colombia,2021,60.94
Comoros,2021,34.529915
Congo,2021,45.95997
Costa Rica,2021,62.17001
C�te d'Ivoire,2021,12.61
Croatia,2021,90.78002
Cuba,2021,49.639988
Cyprus,2021,75.76981
Czechia,2021,82.40002
Dem. Rep. Congo,2021,3.03
Denmark,2021,70.48993
Djibouti,2021,14.829974
Dominica,2021,81.58184
Dominican Rep.,2021,53.529984
East Timor,2021,17.179947
Somalia,2021,12.23
Eastern Asia (FAO),2021,63.02
Eastern Europe (FAO),2021,74.39
Ecuador,2021,50.91001
Egypt,2021,29.109999
El Salvador,2021,43.850033
Estonia,2021,72.06978
Eswatini,2021,27.109932
Ethiopia,2021,7.1400003
Europe,2021,77.58159
Europe (FAO),2021,77.64
European Union (27),2021,80.161095
European Union (27) (FAO),2021,80.16
Fiji,2021,44.40976
Finland,2021,74.04011
France,2021,86.05999
French Polynesia,2021,92.44756
Gabon,2021,66.33985
Gambia,2021,16.709986
Georgia,2021,37.76996
Greenland,2021,9.24561
Germany,2021,76.58998
Ghana,2021,20.899996
Greece,2021,76.79995
Grenada,2021,78.61117
Guatemala,2021,42.089993
Guinea,2021,16.660002
Guinea-Bissau,2021,14.689928
Guyana,2021,72.41991
Haiti,2021,21.54999
High-income countries,2021,91.83566
Honduras,2021,38.750015
Hong Kong,2021,146.85
Hungary,2021,82.080055
Iceland,2021,83.548195
India,2021,5.69
Indonesia,2021,18.55
Iran,2021,31.58
Iraq,2021,15.65338
Ireland,2021,80.19008
Israel,2021,107.70003
Italy,2021,74.31999
Jamaica,2021,63.409977
